"Unidade";"UF";"Edital";"Processo SEI";"Ciclo";"Vagas Previstas";"Contratados";"Vagas Ociosas";"Inscritos";"Status";"Etapa";"Risco";"Data de Início";"Data de Encerramento";"Responsável";"Observações";"Link do Edital"
"DSEI Alto Rio Negro";"AM";"41/2026";"AGSUS.015347/2026-02";"4º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32821/?EDITAL-ARN.pdf"
"DSEI Alto Rio Purus";"AC";"42/2026";"AGSUS.015349/2026-93";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32770/?Edital-do-Processo-Seletivo-Simplificado-Sanitarista-no-422026.pdf"
"DSEI Alto Rio Solimões";"AM";"43/2026";"AGSUS.015351/2026-62";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32761/?Edital-do-Processo-Seletivo-Simplificado-Sanitarista-no-432026.pdf"
"DSEI Amapá e Norte do Pará";"AP";"44/2026";"AGSUS.015353/2026-51";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-02-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32859/?SEI_0522522_Edital_de_Processo_Seletivo_Simplificado_44-1.pdf"
"DSEI Amapá e Norte do Pará";"AP";"84/2025";"AGSUS.008096/2025-11";"3º CICLO";"21";"19";"2";"631";"Concluído";"Resultado final do Processo Seletivo";"Baixo";"2025-10-22";"2026-01-05";"Fabiana";"";"https://agenciasus.org.br/shared-files/19140/?Edital-DSEI-AMAPA-E-NORTE-DO-PARA.pdf"
"DSEI Araguaia";"MT";"45/2026";"AGSUS.015354/2026-04";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2027-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32856/?SEI_0522540_Edital_de_Processo_Seletivo_Simplificado_45.pdf"
"DSEI Bahia";"BA";"46/2026";"AGSUS.015357/2026-30";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32930/?Edital-de-Processo-Seletivo-Simplificado-no-46.2026.pdf"
"DSEI Cuiabá";"MT";"48/2026";"AGSUS.015359/2026-29";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32782/?SEI_0522567_Edital_de_Processo_Seletivo_Simplificado_48.pdf"
"DSEI Interior Sul";"SC";"50/2026";"";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32827/?SEI_0522639_Edital_de_Processo_Seletivo_Simplificado_50.pdf"
"DSEI Kaiapó de Mato Grosso";"MT";"51/2026";"AGSUS.015363/2026-97";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32838/?SEI_0522653_Edital_de_Processo_Seletivo_Simplificado_51.pdf"
"DSEI Kaiapó do Pará";"PA";"52/2026";"AGSUS.015364/2026-31";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32825/?SEI_0522664_Edital_de_Processo_Seletivo_Simplificado_52.pdf"
"DSEI Leste de Roraima";"RR";"53/2026";"AGSUS.015366/2026-21";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32879/?Edital-do-Processo-Seletivo-Simplificado-Sanitarista-no-532026.pdf"
"DSEI Manaus";"AM";"55/2026";"AGSUS.015369/2026-64";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32835/?SEI_0522698_Edital_de_Processo_Seletivo_Simplificado_55.pdf"
"DSEI Maranhão";"MA";"56/2026";"AGSUS.015370/2026-99";"5º";"2";"0";"2";"0";"Andamento";"Impugnação do Edital";"Baixo";"2026-06-16";"2026-07-29";"Núcleo";"Cargo de Sanitarista";"https://agenciasus.org.br/shared-files/32869/?SEI_0522707_Edital_de_Processo_Seletivo_Simplificado_56.pdf"
